Subject,Activity,Measure1,Measure2,Measure3,Measure4
1,A,12.3,13.9,9.7,8.4
1,B,11.9,14.1,3.9,4.5
1,B,2.7,3.7,4.7,5.7
1,C,2.1,3.1,4.1,5.1
1,A,7.8,8.7,9.8,8.9
1,A,7.0,7.1,7.3,7.4
1,C,11.1,12.2,13.3,14.4
1,B,14.4,13.3,12.2,11.1
1,A,21.0,19.0,18.0,17.0
1,C,7.8,8.9,9.0,10.1
2,A,12.3,13.9,9.7,8.4
2,B,11.9,14.1,3.9,4.5
2,B,2.7,3.7,4.7,5.7
2,C,2.1,3.1,4.1,5.1
2,A,7.8,8.7,9.8,8.9
2,A,7.0,7.1,7.3,7.4
2,C,11.1,12.2,13.3,14.4
2,B,14.4,13.3,12.2,11.1
2,A,21.0,19.0,18.0,17.0
2,C,7.8,8.9,9.0,10.1
3,A,12.3,13.9,9.7,8.4
3,B,11.9,14.1,3.9,4.5
3,B,2.7,3.7,4.7,5.7
3,C,2.1,3.1,4.1,5.1
3,A,7.8,8.7,9.8,8.9
3,A,7.0,7.1,7.3,7.4
3,C,11.1,12.2,13.3,14.4
3,B,14.4,13.3,12.2,11.1
3,A,21.0,19.0,18.0,17.0
3,C,7.8,8.9,9.0,10.1
4,A,12.3,13.9,9.7,8.4
4,B,11.9,14.1,3.9,4.5
4,B,2.7,3.7,4.7,5.7
4,C,2.1,3.1,4.1,5.1
4,A,7.8,8.7,9.8,8.9
4,A,7.0,7.1,7.3,7.4
4,C,11.1,12.2,13.3,14.4
4,B,14.4,13.3,12.2,11.1
4,A,21.0,19.0,18.0,17.0
4,C,7.8,8.9,9.0,10.1
5,A,12.3,13.9,9.7,8.4
5,B,11.9,14.1,3.9,4.5
5,B,2.7,3.7,4.7,5.7
5,C,2.1,3.1,4.1,5.1
5,A,7.8,8.7,9.8,8.9
5,A,7.0,7.1,7.3,7.4
5,C,11.1,12.2,13.3,14.4
5,B,14.4,13.3,12.2,11.1
5,A,21.0,19.0,18.0,17.0
5,C,7.8,8.9,9.0,10.1
